"variable_id","title","description","register_type","register_address","usable_address","divisor","factor","unit","variable_size","rest_writable","minimum_raw","maximum_raw","default_raw","included_in_definition","mqtt_topic"
1197,"Permit (EB107-EP14)","","input",701,true,1,1,"","u8",false,0,0,0,false,""
1198,"Permit (EB106-EP14)","","input",702,true,1,1,"","u8",false,0,0,0,false,""
1199,"Permit (EB105-EP14)","","input",703,true,1,1,"","u8",false,0,0,0,false,""
1200,"Permit (EB104-EP14)","","input",704,true,1,1,"","u8",false,0,0,0,false,""
1201,"Permit (EB103-EP14)","","input",705,true,1,1,"","u8",false,0,0,0,false,""
1202,"Permit (EB102-EP14)","","input",706,true,1,1,"","u8",false,0,0,0,false,""
1203,"Permit (EB101-EP14)","","input",707,true,1,1,"","u8",false,0,0,0,false,""
1204,"Permit (EB100-EP14)","","input",708,true,1,1,"","u8",false,0,0,0,false,""
1205,"Smart energy source, priority 7, start DM","","input",709,true,1,1,"","s32",false,0,0,0,false,""
1206,"Smart energy source, priority 6, start DM","","input",711,true,1,1,"","s32",false,0,0,0,false,""
1207,"Smart energy source, priority 5, start DM","","input",713,true,1,1,"","s32",false,0,0,0,false,""
1208,"Smart energy source, priority 4, start DM","","input",715,true,1,1,"","s32",false,0,0,0,false,""
1209,"Smart energy source, priority 3, start DM","","input",717,true,1,1,"","s32",false,0,0,0,false,""
1210,"Smart energy source, priority 2, start DM","","input",719,true,1,1,"","s32",false,0,0,0,false,""
1211,"Smart energy source, priority 1, start DM","","input",721,true,1,1,"","s32",false,0,0,0,false,""
1212,"Smart energy source, priority 7, stop DM","","input",723,true,1,1,"","s32",false,0,0,0,false,""
1213,"Smart energy source, priority 6, stop DM","","input",725,true,1,1,"","s32",false,0,0,0,false,""
1214,"Smart energy source, priority 5, stop DM","","input",727,true,1,1,"","s32",false,0,0,0,false,""
1215,"Smart energy source, priority 4, stop DM","","input",729,true,1,1,"","s32",false,0,0,0,false,""
1216,"Smart energy source, priority 3, stop DM","","input",731,true,1,1,"","s32",false,0,0,0,false,""
1217,"Smart energy source, priority 2, stop DM","","input",733,true,1,1,"","s32",false,0,0,0,false,""
1218,"Smart energy source, priority 1, stop DM","","input",735,true,1,1,"","s32",false,0,0,0,false,""
1219,"Smart energy source, DM minimum value","","input",737,true,1,1,"","s32",false,0,0,0,false,""
1228,"External guide status","","input",745,true,1,1,"","u8",false,0,0,0,false,""
